tradedate;ticker;shortname;issue_size;cap_total;free_float;weight;volume;trades
04.05.2017;AFKS;Система ао;9650000000;1.39829E+11;0.36;0.53;2597068610;60152
04.05.2017;AFLT;Аэрофлот;1110616299;203409375161.85;0.41;0.87;782701750;6855
04.05.2017;AGRO;AGRO-гдр;120000000;83280000000;0.21;0.18;12748579;362
04.05.2017;AKRN;Акрон;40534000;1.33762E+11;0.16;0.22;6515454;182
04.05.2017;ALRS;АЛРОСА ао;7364965630;6.97462E+11;0.34;2.48;1138180784;15942
04.05.2017;BANEP;Башнефт ап;29788012;37518001114;0.63;0.25;29525411;1165
04.05.2017;CBOM;МКБ ао;23879709866;105619956737.32;0.25;0.28;13423509.1;216
04.05.2017;CHMF;СевСт-ао;837718660;6.53923E+11;0.18;1.23;381016994;5345
04.05.2017;DIXY;ДИКСИ ао;124750000;27469950000;0.46;0.13;7202025;386
04.05.2017;FEES;ФСК ЕЭС ао;1.27467E+12;244672008761.94;0.21;0.54;569176123.5;12124
04.05.2017;GAZP;ГАЗПРОМ ао;23673512900;3.19427E+12;0.46;15.37;4322423344.7;31814
04.05.2017;GMKN;ГМКНорНик;158245476;1.37689E+12;0.33;4.75;1435965954;12588
04.05.2017;HYDR;РусГидро;3.86255E+11;337355523034.93;0.23;0.81;215632139;7802
04.05.2017;IRAO;ИнтерРАОао;1.044E+11;4.2282E+11;0.29;1.28;242546371;5437
04.05.2017;LKOH;ЛУКОЙЛ;850563255;2.36457E+12;0.46;11.38;2151846230;16173
04.05.2017;LSRG;ЛСР ао;103030215;91696891350;0.33;0.16;3634421;288
04.05.2017;MAGN;ММК;11174330000;4.02108E+11;0.13;0.55;441697400.5;12158
04.05.2017;MFON;МегаФон ао;620000000;3.72E+11;0.15;0.58;196807781;2600
04.05.2017;MGNT;Магнит ао;94561355;8.36017E+11;0.63;5.51;848127641;7008
04.05.2017;MOEX;МосБиржа;2278636493;261450751206.82;0.57;1.56;1282448112.3;34578
04.05.2017;MSNG;#ИМЯ?;39749359700;95040719042.7;0.15;0.15;35353155.5;1391
04.05.2017;MTLR;Мечел ао;416270745;69995925771.75;0.45;0.33;145941275.85;16727
04.05.2017;MTLRP;Мечел ап;138756915;15318763416;0.6;0.1;48665471.5;3226
04.05.2017;MTSS;МТС-ао;1998381575;492601058237.5;0.48;2.47;2039336725;37523
04.05.2017;MVID;М.видео;179768227;68743370004.8;0.42;0.3;167270680;724
04.05.2017;NLMK;НЛМК ао;5993227240;644331860572.4;0.16;1.08;191335107.5;6487
04.05.2017;NMTP;НМТП ао;19259815400;1.37515E+11;0.15;0.22;6445375;316
04.05.2017;NVTK;Новатэк ао;3036306000;2.10416E+12;0.27;5.94;366316434;3459
04.05.2017;PHOR;ФосАгро ао;129500000;3.14815E+11;0.25;0.82;71329936;1996
04.05.2017;PIKK;ПИК ао;660497344;190355334540.8;0.32;0.32;29650154;232
04.05.2017;PLZL;Полюс;190627747;8.37809E+11;0.05;0.44;15688909;180
04.05.2017;POLY;Polymetal;429155913;312640082620.5;0.37;1.21;49018303.5;1262
04.05.2017;ROSN;Роснефть;10598177817;3.28544E+12;0.11;3.78;1183576853;11223
04.05.2017;RSTI;Россети ао;1.95996E+11;180707924489.85;0.11;0.21;154783876.7;7082
04.05.2017;RTKM;Ростел -ао;2574914954;1.93119E+11;0.32;0.65;71759488.2;3227
04.05.2017;RTKMP;Ростел -ап;209565147;11924256864.3;0.69;0.09;15695760;200
04.05.2017;RUAL;RUSAL plc;15193014862;424492835244.28;0.13;0.58;15125352;549
04.05.2017;SBER;Сбербанк;21586948000;3.57264E+12;0.48;15.1;6235158572.2;37906
04.05.2017;SBERP;Сбербанк-п;1000000000;1.267E+11;1;1.12;525832904;7983
04.05.2017;SNGS;Сургнфгз;35725994705;1022299338483.58;0.25;2.67;343566356.5;5538
04.05.2017;SNGSP;Сургнфгз-п;7701998235;245347153775.93;0.73;1.87;702973402;15678
04.05.2017;TATN;Татнфт 3ао;2178690700;8.02303E+11;0.32;2.69;561496454.5;7969
04.05.2017;TATNP;Татнфт 3ап;147508500;36139582500;1;0.38;45382995;1283
04.05.2017;TRMK;ТМК ао;1033135366;78642264059.92;0.3;0.25;60034400.7;3104
04.05.2017;TRNFP;Транснф ап;1554875;3.03667E+11;1;3.18;331613950;1221
04.05.2017;UPRO;Юнипро ао;63048706145;160774200669.75;0.18;0.3;52859097;1774
04.05.2017;URKA;Уркалий-ао;2936015891;434236750278.9;0.06;0.27;19707728.5;925
04.05.2017;UWGN;ОВК ао;113423948;82175650326;0.2;0.17;14574311.5;380
04.05.2017;VTBR;ВТБ ао;1.29605E+13;869652323735.38;0.39;3.55;628497194.2;14572
04.05.2017;YNDX;Yandex clA;285019019;4.50615E+11;0.95;1.12;131296954.5;2223
